"Nº";"Nº Processo";"Licitação de Origem";"Objeto";"Contratada CPF / CNPJ";"Contratante CPF / CNPJ";"Vigência";"Valor (R$)";"Arquivos";"contratada";"contratante"
"097/2020";"077/2020";"Dispensa Nº 039/2020 ";"CONTRATAÇÃO DE
EMPRESA ESPECIALIZADA PARA AQUISIÇÃO DE AR CONDICIONADO, VISANDO ATENDER AS
NECESSIDADES DA REATIVAÇÃO DA UPA, PARA AUXILIAR NO COMBATE DA PANDEMIA DE
CORONAVÍRUS (COVID - 19) NO MUNICÍPIO DE TUCANO/BA";"35.807.941/0001-16";"";"23/04/2020 à 23/07/2020";"17.540,00";"[]";"LOJA DA FABRICA COMERCIO DE MOVEIS LTDA (CPF/CNPJ: 35.807.941/0001-16)";"PREFEITURA MUNICIPAL DE TUCANO"
"104/2020 ";"088/2020";"Dispensa Nº 045/2020";"CONTRATAÇÃO DE
EMPRESA ESPECIALIZADA PARA FORNECIMENTO DE OXÍMETRO DE DEDO E MASCARA CIRÚRGICA
TRIPLA, VISANDO ATENDER AS NECESSIDADES DA UPA E SECRETARIA DE SAÚDE E SECRETARIA DE
ASSISTÊNCIA SOCIAL, PARA AUXILIAR NO COMBATE DA PANDEMIA DE CORONAVÍRUS (COVID — 19) NO
MUNICÍPIO DE TUCANO/BA";"10.679.185/0001-66";"";"18/05/2020 á 18/08/2020";"115.612,00";"[]";"EKIP VIDA EQUIPAMENTOS PARA SAUDE LTDA, (CPF/CNPJ: 10.679.185/0001-66)";"PREFEITURA MUNICIPAL DE TUCANO"
"110/2020";"099/2020";"Dispensa Nº 048/2020 ";"CONTRATAÇÃO DE
EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E
CORRETIVA E FORNECIMENTO DE PEÇAS, PARA O VENTILADOR PULMONAR INTER 7 PLUS,
PERTENCENTE AO HOSPITAL MARIANA PENEDO, ATENDENDO AS NECESSIDADES DA SECRETARIA
DE SAÚDE, DO MUNICÍPIO DE TUCANO — BAHIA.,";"03.349.092/0001-08";"";"03/06/2020 à 03/08/2020.";"7.666,00";"[]";"MAQNELSON TRATORES E IMPLEMENTOS EIRELI,  (CPF/CNPJ: 03.349.092/0001-08)";"PREFEITURA MUNICIPAL DE TUCANO"
"116/2020";"105/2020";"Dispensa Nº 052/2020 ";"CONTRATAÇÃO DE
EMPRESA ESPECIALIZADA PARA FORNECIMENTO DE MASCARA ANATÔMICA FILTRANTE (SICADA,
ANTIBACTERICIDA), PARA OS AGENTES (PSF), ATENDENDO A DEMANDA DA SECRETARIA DE SAÚDE
NO COMBATE DA PANDEMIA DE CORONAVÍRUS (COVID - 19) NO MUNICÍPIO DE TUCANO/BA,,";"02.592.797/0001- 99";"";"17/06/2020 à 17/09/2020";"2.756,00";"[]";"MSA COMERCIO DE COSMETICOS EIRELI (CPF/CNPJ: 02.592.797/0001- 99)";"PREFEITURA MUNICIPAL DE TUCANO"
"107/2020";"103/2020";"Dispensa Nº 053/2020";"CONTRATAÇÃO DE
EMPRESA ESPECIALIZADA PARA A PRESTAÇÃO DE SERVIÇOS DE LOCAÇÃO E INSTALAÇÃO DE
BANHEIRO QUÍMICO E TOLDO, PARA A PARA ATENDER AS NECESSIDADES DA SECRETARIA DE
SAÚDE NO COMBATE AO CORONAVÍRUS (COVID-19) NO MUNICÍPIO DE TUCANO - BA.";"14.735.912/0001-16";"";"03/06/2020 á 03/09/2020";"45.000,00";"[]";" THIAGO SANTOS PRADO  (CPF/CNPJ: 14.735.912/0001-16)";"PREFEITURA MUNICIPAL DE TUCANO"
"087/2020 ";"067/2020";"Dispensa Nº 034/2020 ";" CONTRATAÇÃO DE
EMPRESA ESPECIALIZADA PARA FORNECIMENTO DE MATERIAL PENSO, EQUIPAMENTOS
RESPIRATÓRIOS E OUTROS, EM CARÁTER EMERGENCIAL, NO COMBATE E PREVENÇÃO DA
PANDEMIA DE CORONA VÍRUS, CONFORME ESTABELECE O DECRETO MUNICIPAL Nº 035/2020 E LEI
FEDERAL Nº 13.979/2020, PARA O MUNICIPIO DE TUCANO - BAHIA.V";"07.865.568/0001-14";"";"19/03/2020 à 19/06/2020";"172.750,00";"[]";"LUSMED COMERCIO DE PRODUTOS MEDICOS HOSPITALARES LTDA,  (CPF/CNPJ: 07.865.568/0001-14)";"PREFEITURA MUNICIPAL DE TUCANO"
"071/2020 ";"064/2020";"Dispensa Nº 031/2020";"FORNECIMENTO DE
MATERIAL DE HIGIENIZAÇÃO E EPI HOSPITALAR, VISANDO ATENDER AS NECESSIDADES DA
SECRETARIA DE SAÚDE, PARA O COMBATE DA PANDEMIA DE CORONA VÍRUS (COVID — 19) NO
MUNICÍPIO DE TUCANO/BA. ";"03.535.122/0001-70";"";"23/03/2020 ate 23/06/2020";"14.597,88";"[]";"MARCOS ROGERIO DE MENEZES ALMEIDA- ME (CPF/CNPJ: 03.535.122/0001-70)";"PREFEITURA MUNICIPAL DE TUCANO"
"103/2020 ";"073/2020";"Dispensa Nº 030/2020";"CONTRATAÇÃO DE
EMPRESA ESPECIALIZADA PARA AQUISIÇÃO DE MATERIAIS PERMANENTES (MÓVEIS,
EQUIPAMENTO DE INFORMÁTICA E OUTROS), PARA ESTRUTURA FÍSICA DA UPA VISANDO ATENDER
AS NECESSIDADES DA SECRETARIA DE SAÚDE, PARA AUXILIAR NO COMBATE DA PANDEMIA DE
CORONAVÍRUS (COVID — 19) NO MUNICÍPIO DE TUCANO/BA. ";"07.865.568/0001-14. ";"";"04/05/2020 á 04/08/2020";"185.205,00";"[]";"LUSMED COMERCIO DE PRODUTOS MEDICOS HOSPITALARES LTDA,  (CPF/CNPJ: 07.865.568/0001-14.)";"PREFEITURA MUNCIPAL DE TUCANO"
"090/2020";"071/2020";"Dispensa Nº 036/2020 ";"CONTRATAÇÃO DE
EMPRESA ESPECIALIZADA PARA FORNECIMENTO DE MATERIAL DE HIGIENIZAÇÃO, TERMÔMETRO
E EPI HOSPITALAR, VISANDO ATENDER AS NECESSIDADES DA SECRETARIA DE SAÚDE, PARA O
COMBATE DA PANDEMIA DE CORONAVÍRUS (COVID — 19) NO MUNICÍPIO DE TUCANO/BA, ";"04.668.436/0001-04";"";"14/04/2020 à 14/07/2020";"36.694,00";"[]";"COMERCIAL VIANNA EIRELI (CPF/CNPJ: 04.668.436/0001-04)";"PREFEITURA MUNICIPAL DE TUCANO"
"091/2020 ";"072/2020";"Dispensa Nº 037/2020 ";"CONTRATAÇÃO DE
EMPRESA ESPECIALIZADA PARA CONFECÇÃO E FORNECIMENTO DE MATERIAL DE HIGIENIZAÇÃO E
EPis HOSPITALAR, VISANDO ATENDER AS NECESSIDADES DA SECRETARIA DE SAÚDE, PARA O
COMBATE DA PANDEMIA DE CORONAVÍRUS (COVID — 19) NO MUNICÍPIO DE TUCANO/BA. ";"02.935.938/0004-71. ";"";"10/04/2020 à 10/07/2020";"98.250,00";"[]";"COMERCIO DE CONFECCOES R M LTDA., (CPF/CNPJ: 02.935.938/0004-71.)";"PREFEITURA MUNICIPAL DE TUCANO"
"096/2020 ";"076/2020";"Dispensa Nº 038/2020 ";"CONTRATAÇÃO DE
EMPRESA ESPECIALIZADA PARA O FORNECIMENTO DE SACO PARA ÓBITO, VISANDO ATENDER AOS
FUNERAIS ESPECÍFICOS DE DAS MITIMAS DA PANDEMIA DE CORONAVÍRUS (COVID — 19),
ATENDENDO AS NECESSIDADES DA SECRETARIA DE SAÚDE NO MUNICÍPIO DE TUCANO/BA.,";"05.780.395/0001-06.";"";"22/04/2020 à 22/07/2020";"3.811,50";"[]";"TOP VIDA - DISTRIBUIDORA HOSPITALAR LTDA,  (CPF/CNPJ: 05.780.395/0001-06.)";"PREFEITURA MUNCIPAL DE TUCANO"
"100/2020 ";"079/2020";"Dispensa Nº 041/2020";"CONTRATAÇÃO DE
EMPRESA ESPECIALIZADA PARA FORNECIMENTO DE MATERIAL PERMANENTE E INSUMOS, VISANDO
ATENDER AS NECESSIDADES DA REATIVAÇÃO DA UPA E SECRETARIA DE SAÚDE, PARA AUXILIAR NO
COMBATE DA PANDEMIA DE CORONAVÍRUS (COVID — 19) NO MUNICÍPIO DE TUCANO/BA, ";"07.061.398/0001-15.";"";"04/05/2020 á 04/08/2020";"55.140,00";"[]";"BASE MEDICA COMERCIO E SERVICOS LTDA (CPF/CNPJ: 07.061.398/0001-15.)";"PREFEITURA MUNICIPAL DE TUCANO"
"101/2020 ";"080/2020";"Dispensa Nº 042/2020 ";" Licitação: Processo
Administrativo nº 079/2020. Modalidade: Dispensa de Licitação nº 041/2020. Objeto CONTRATAÇÃO DE
EMPRESA ESPECIALIZADA PARA FORNECIMENTO DE MEDICAMENTOS CONTROLADOS E OUTROS,
VISANDO ATENDER AS NECESSIDADES DA REATIVAÇÃO DA UPA E SECRETARIA DE SAÚDE, PARA
AUXILIAR NO COMBATE DA PANDEMIA DE CORONAVÍRUS (COVID — 19) NO MUNICÍPIO DE TUCANOIBA.,";"05.780.395/0001-06.";"";"05/05/2020 á 05/08/2020";"97.232,76";"[]";"TOP VIDA - DISTRIBUIDORA HOSPITALAR LTDA, (CPF/CNPJ: 05.780.395/0001-06.)";"PREFEITURA MUNCIPAL DE TUCANO"
"118/2020 ";"111/2020";"Dispensa Nº 055/2020 ";"CONTRATAÇÃO DE
EMPRESA ESPECIALIZADA PARA FORNECIMENTO DE MONITOR MULTIPARAMETROS E TERMÔMETRO
DE LEITURA INSTANTÂNEA DIGITAL, VISANDO ATENDER AS NECESSIDADES DA UPA/ SECRETARIA DE
SAÚDE, PARA AUXILIAR NO COMBATE DA PANDEMIA DE CORONAVÍRUS (COVID — 19) NO MUNICÍPIO DE
TUCANO/BA.,";"37.365.028/0001-32. ";"";"02/07/2020 á 02/10/2020";"41.897,00";"[]";"ILANA GONÇALVES DOS SANTOS DE JESUS  (CPF/CNPJ: 37.365.028/0001-32.)";"PREFEITURA MUNICIPAL DE TUCANO"
"105/2020 ";"092/2020";"Dispensa Nº 044/2020";"CONTRATAÇÃO DE
EMPRESA ESPECIALIZADA PARA FORNECIMENTO DE OXÍMETRO DE DEDO E MASCARA CIRÚRGICA
TRIPLA, VISANDO ATENDER AS NECESSIDADES DA UPA E SECRETARIA DE SAÚDE E SECRETARIA DE
ASSISTÊNCIA SOCIAL, PARA AUXILIAR NO COMBATE DA PANDEMIA DE CORONAVÍRUS (COVID — 19) NO
MUNICÍPIO DE TUCANO/BA.,";"10.679.185/0001-66.";"";"25/05/2020 á 25/08/2020";"119.865,00";"[]";"EKIP VIDA EQUIPAMENTOS PARA SAUDE LTDA (CPF/CNPJ: 10.679.185/0001-66.)";"PREFEITURA MUNICIPAL DE TUCANO"
